item,type,material,amount_of_material,crafting_station_level,crafting_station,upgrade_level
Abyssal Harpoon,Spear,Fine Wood,8,2,Workbench,1
Abyssal Harpoon,Spear,Chitin,30,2,Workbench,1
Abyssal Harpoon,Spear,Leather Scraps,3,2,Workbench,1
Abyssal Razor,Knife,Fine Wood,4,2,Workbench,1
Abyssal Razor,Knife,Chitin,20,2,Workbench,1
Abyssal Razor,Knife,Leather Scraps,2,2,Workbench,1
Abyssal Razor,Knife,Chitin,10,3,Workbench,2
Abyssal Razor,Knife,Chitin,20,4,Workbench,3
Abyssal Razor,Knife,Chitin,30,5,Workbench,4
Ancient Bark Spear,Spear,Troll Hide,4,3,Forge,1
Ancient Bark Spear,Spear,Iron,10,3,Forge,1
Ancient Bark Spear,Spear,Ancient Bark,10,3,Forge,1
Ancient Bark Spear,Upgrade,Troll Hide,1,4,Forge,2
Ancient Bark Spear,Upgrade,Iron,5,4,Forge,2
Ancient Bark Spear,Upgrade,Ancient Bark,5,4,Forge,2
Ancient Bark Spear,Upgrade,Troll Hide,2,5,Forge,3
Ancient Bark Spear,Upgrade,Iron,10,5,Forge,3
Ancient Bark Spear,Upgrade,Ancient Bark,10,5,Forge,3
Ancient Bark Spear,Upgrade,Troll Hide,3,6,Forge,4
Ancient Bark Spear,Upgrade,Iron,15,6,Forge,4
Ancient Bark Spear,Upgrade,Ancient Bark,15,6,Forge,4
Antler Pickaxe,Pickaxe,Wood,10,1,Workbench,1
Antler Pickaxe,Tool,Hard Antler,1,1,Workbench,1
Arbalest,Crossbow,Wood,10,1,Blackforge,1
Arbalest,Crossbow,Iron,8,1,Blackforge,1
Arbalest,Crossbow,Root,4,1,Blackforge,1
Arbalest,Upgrade,Wood,5,2,Blackforge,2
Arbalest,Upgrade,Iron,4,2,Blackforge,2
Arbalest,Upgrade,Root,1,2,Blackforge,2
Arbalest,Upgrade,Wood,10,3,Blackforge,3
Arbalest,Upgrade,Iron,8,3,Blackforge,3
Arbalest,Upgrade,Root,2,3,Blackforge,3
Arbalest,Upgrade,Wood,15,4,Blackforge,4
Arbalest,Upgrade,Iron,12,4,Blackforge,4
Arbalest,Upgrade,Root,3,4,Blackforge,4
Banded Shield,Shield,Fine Wood,10,2,Forge,1
Banded Shield,Shield,Iron,8,2,Forge,1
Banded Shield,Upgrade,Fine Wood,10,3,Forge,2
Banded Shield,Upgrade,Iron,4,3,Forge,2
Banded Shield,Upgrade,Fine Wood,20,4,Forge,3
Banded Shield,Upgrade,Iron,8,4,Forge,3
Battleaxe,Axe,Ancient Bark,30,2,Forge,1
Battleaxe,Axe,Iron,35,2,Forge,1
Battleaxe,Axe,Leather Scraps,4,2,Forge,1
Battleaxe,Upgrade,Ancient Bark,5,3,Forge,2
Battleaxe,Upgrade,Iron,15,3,Forge,2
Battleaxe,Upgrade,Ancient Bark,10,4,Forge,3
Battleaxe,Upgrade,Iron,30,4,Forge,3
Battleaxe,Upgrade,Ancient Bark,15,5,Forge,4
Battleaxe,Upgrade,Iron,45,5,Forge,4
Blackmetal Shield,Shield,Fine Wood,10,3,Forge,1
Blackmetal Shield,Shield,Blackmetal,8,3,Forge,1
Blackmetal Shield,Shield,Chain,5,3,Forge,1
Blackmetal Shield,Upgrade,Fine Wood,10,4,Forge,2
Blackmetal Shield,Upgrade,Blackmetal,4,4,Forge,2
Blackmetal Shield,Upgrade,Chain,2,4,Forge,2
Blackmetal Shield,Upgrade,Fine Wood,20,5,Forge,3
Blackmetal Shield,Upgrade,Blackmetal,8,5,Forge,3
Blackmetal Shield,Upgrade,Chain,4,5,Forge,3
Blackmetal Tower Shield,Shield,Fine Wood,15,3,Forge,1
Blackmetal Tower Shield,Shield,Blackmetal,10,3,Forge,1
Blackmetal Tower Shield,Shield,Chain,7,3,Forge,1
Blackmetal Tower Shield,Upgrade,Fine Wood,15,4,Forge,2
Blackmetal Tower Shield,Upgrade,Blackmetal,6,4,Forge,2
Blackmetal Tower Shield,Upgrade,Chain,2,4,Forge,2
Blackmetal Tower Shield,Upgrade,Fine Wood,20,5,Forge,3
Blackmetal Tower Shield,Upgrade,Blackmetal,8,5,Forge,3
Blackmetal Tower Shield,Upgrade,Chain,4,5,Forge,3
Blackmetal Atgeir,Polearm,Fine Wood,10,4,Forge,1
Blackmetal Atgeir,Polearm,Blackmetal,30,4,Forge,1
Blackmetal Atgeir,Polearm,Linen Thread,5,4,Forge,1
Blackmetal Atgeir,Upgrade,Blackmetal,15,5,Forge,2
Blackmetal Atgeir,Upgrade,Linen Thread,5,5,Forge,2
Blackmetal Atgeir,Upgrade,Blackmetal,30,5,Forge,3
Blackmetal Atgeir,Upgrade,Linen Thread,10,5,Forge,3
Blackmetal Atgeir,Upgrade,Blackmetal,45,5,Forge,4
Blackmetal Atgeir,Upgrade,Linen Thread,15,5,Forge,4
Blackmetal Axe,Axe,Fine Wood,6,4,Forge,1
Blackmetal Axe,Axe,Blackmetal,20,4,Forge,1
Blackmetal Axe,Axe,Linen Thread,5,4,Forge,1
Blackmetal Axe,Upgrade,Blackmetal,10,5,Forge,2
Blackmetal Axe,Upgrade,Linen Thread,5,5,Forge,2
Blackmetal Axe,Upgrade,Blackmetal,20,6,Forge,3
Blackmetal Axe,Upgrade,Linen Thread,10,6,Forge,3
Blackmetal Axe,Upgrade,Blackmetal,30,7,Forge,4
Blackmetal Axe,Upgrade,Linen Thread,15,7,Forge,4
Blackmetal Knife,Knife,Fine Wood,4,4,Forge,1
Blackmetal Knife,Knife,Blackmetal,10,4,Forge,1
Blackmetal Knife,Knife,Linen Thread,5,4,Forge,1
Blackmetal Knife,Upgrade,Blackmetal,4,5,Forge,2
Blackmetal Knife,Upgrade,Linen Thread,5,5,Forge,2
Blackmetal Knife,Upgrade,Blackmetal,8,6,Forge,3
Blackmetal Knife,Upgrade,Linen Thread,10,6,Forge,3
